tweet,label,political
कुलकर्णी हे बघ,-1,-1
हे प्रत्येक पक्ष्याच्या सतरंज्या उचल्यागीरी करणार्या अंध भक्तांना समजले पाहिजे.,-1,-1
जी च्या दृष्टीने पुणे जिल्ह्यात एकही लायक आमदार नाही का मंत्री बनण्यासाठी,-1,1
शेणकयांच वजन    किलो त्याच्यापेक्षा वजनदार भांडी मालकाकड़े ..खुप वाईट आहे हे,-1,0
पार होती नव्हती इज्जत काढली....सरकारी लोक स्वतःला काय समजतात देव जाणो...,-1,1
भाजप हा देशातील सर्वात भ्रष्ट पक्ष... घोटाळे करणाऱ्या प्रत्येक नेत्याला देश शिक्षा भोगत आहे.,-1,0
निवडणूक कोणाला लढवायची होती उद्दिष्ट वेगळेच होते सफल झाले बसा बोंबलत आता,-1,1
अक्कल सम्राट उद्धट हे सेनेचे वाट लावत आहेत आणि काही नाही...,-1,-1
स्वतः चा देह सांभाळता येत नाही. हा कसला बदला घेणार,-1,-1
पुरावेच नाहीयेत म्हणून कारवाई होत नाहीये..हा तोटल्या उगाच रान उठवतोय,-1,1
लोकांनीं भाजप ला नाकारले आहे असे चित्र दिसत आहे. सध्या तरी .,-1,-1
मराठवाड्यातील शेतकऱ्याच दुःख समजतंय का सत्तार साहेब?,-1,-1
या देशात खरा नामर्द कोण आहे हे देशातील सुज्ञ नागरिकांना माहीत आहे,-1,-1
"वैशाली ठक्कर आत्महत्त्या प्रकरणात फरार आरोपी पोलिसांच्या ताब्यात, काय होते वैशालीसोबतचे नाते?",-1,0
"चांगल्या समाजकार्यच्या फळ मिळतात योग्य ,तुम्ही कमी पडत आहेत",-1,-1
तुमचा हा पत्रकार पत्रकारिता सोडून राष्ट्रवादीचीच जास्त तळी उचलतो,-1,1
मानसिक गुलामगिरीचे उत्तम उदाहरण म्हणजे शेन किडे...,-1,-1
"गद्दारांनो ढाल-तलवार चिन्ह मिळवून उपयोग काय, आयुष्यभर च्या पदराखालीच लपायचं आहे तुम्हाला..",-1,0
अगदी खंर आहे!लाज वाटायला लागलेय आपलीच आपल्याला!,-1,-1
येडा भोकाचा काय पण बरळत असतो नेहमी..,-1,-1
कारवाही होईल की नाही आज तरी,-1,-1
कुठला गांजा मारून न्यूज लिहितात हे न्यूज वाले..,-1,-1
"आजपर्यंत फक्त मुलेच चोरीला जात होती, एकनाथ सिंदे यांनी वडिलांकडून चोरी केली होती.",-1,-1
काय वेळ आलीय?? लोकांची कामं करण्यापेक्षा मोदीच्या सांगण्यानुसार पूजा करत हिंडत आहेत??,-1,1
खरंच एवढी घाण केलीय का?,-1,0
"ला """" कंटेंट देण्याच्या प्रयत्नात टेक कंपनीज कोणत्या पातळीवर उतरतात हे पाहणे धक्कादायक आहे...",-1,-1
अरे देसाड वाघ हा पोल बघ. मग तुला कळेल स्वतःची लायकी.,-1,0
हे दृश्य नक्कीच व्यथित करणारे आहे -----,-1,0
या राजकारणी माणसानी महाराष्ट्राची इज्जतीचे पार वाभाडे काढलेत,-1,-1
"काय खोटी आशा बाळगता मॅडम, एक तरी पुरावा आहे का मोदी असे म्हणाल्याचा.",-1,0
हे चुकीचं आहे अध्यक्ष महोदय,-1,-1
